source,target,grade_source,grade_target,source_node,target_node,granger_causes,lag,p_value,adjusted_p_value,test_statistic,n_observations,r2_restricted,r2_augmented
103,102,med2,low2,M103_med2,M102_low2,True,4,2.0413673529340315e-08,1.0940143483685295e-07,10.516483453886682,1704,0.0003585808824648762,0.024566556502314207
104,102,low1,low2,M104_low1,M102_low2,True,4,0.011698856016066572,0.02625109154824694,3.2391564235634065,1704,0.0003585808824648762,0.007941899744976277
104,102,low2,low2,M104_low2,M102_low2,True,4,0.004788908000042391,0.01144362431178961,3.7538525717587525,1704,0.0003585808824648762,0.00913629478940814
104,102,med1,low2,M104_med1,M102_low2,False,4,0.9275072321159427,0.9999999999922596,0.21976011100547405,1704,0.0003585808824648762,0.0008767341327661216
104,102,med2,low2,M104_med2,M102_low2,False,4,0.18649966958053588,0.3268184685982724,1.5454926190386031,1704,0.0003585808824648762,0.003991204462407971
105,102,low1,low2,M105_low1,M102_low2,False,4,0.5342266623834417,0.7719715121352352,0.7859531148409061,1704,0.0003585808824648762,0.0022092398933564183
105,102,low2,low2,M105_low2,M102_low2,False,4,0.6023115473000975,0.8481529951776883,0.6850373688925153,1704,0.0003585808824648762,0.001972000292496001
105,102,med1,low2,M105_med1,M102_low2,False,4,0.11996885470379415,0.21972462047321792,1.8325793710963898,1704,0.0003585808824648762,0.004663085653020649
105,102,med2,low2,M105_med2,M102_low2,False,4,0.06147471046660691,0.11990826917868203,2.2508915316071265,1704,0.0003585808824648762,0.0056404581030632395
106,102,low1,low2,M106_low1,M102_low2,False,4,0.39885592127744074,0.6201928691412599,1.0139100914441708,1704,0.0003585808824648762,0.0027447217446927574
106,102,low2,low2,M106_low2,M102_low2,False,4,0.40340594575724453,0.6255058484775252,1.0054129942147523,1704,0.0003585808824648762,0.0027247719693569428
106,102,med1,low2,M106_med1,M102_low2,False,4,0.540721080182474,0.7793160215684743,0.7760297406532687,1704,0.0003585808824648762,0.002185916350440742
106,102,med2,low2,M106_med2,M102_low2,False,4,0.42553171743069573,0.6492061246126434,0.9650872249689764,1704,0.0003585808824648762,0.0026300828661681708
101,102,low1,med1,M101_low1,M102_med1,True,4,0.0041171096121700446,0.009954598597440177,3.8401350311747136,1704,0.005855504475388185,0.0147837953561758
101,102,low2,med1,M101_low2,M102_med1,True,4,4.463962576461977e-05,0.00016105276746451055,6.358057438275061,1704,0.005855504475388185,0.02055141099278135
101,102,med1,med1,M101_med1,M102_med1,True,4,2.8349322889198447e-11,1.9561032793546928e-10,14.040089894855928,1704,0.005855504475388185,0.03773808566628267
101,102,med2,med1,M101_med2,M102_med1,False,4,0.2919950312463979,0.48113808133734826,1.239712163295625,1704,0.005855504475388185,0.008755464140062896
102,102,low1,med1,M102_low1,M102_med1,False,4,0.6422331563574828,0.8973807894355895,0.6284518999189491,1704,0.005855504475388185,0.007327709282699546
102,102,low2,med1,M102_low2,M102_med1,False,4,0.07317629112868429,0.1401950601559302,2.143408109910737,1704,0.005855504475388185,0.010858768986072187
102,102,med2,med1,M102_med2,M102_med1,True,4,0.011489457578547468,0.025886451360645726,3.2496568749570933,1704,0.005855504475388185,0.013421385249686724
103,102,low1,med1,M103_low1,M102_med1,True,4,3.630153702083305e-07,1.7195710159038176e-06,8.968656264716989,1704,0.005855504475388185,0.026460440566625887
103,102,low2,med1,M103_low2,M102_med1,True,4,2.220446049250313e-16,2.3570888830503323e-15,20.273854160278706,1704,0.005855504475388185,0.051247526385171605
103,102,med1,med1,M103_med1,M102_med1,True,4,2.220446049250313e-16,2.3570888830503323e-15,20.287758212292033,1704,0.005855504475388185,0.05127723445277832
103,102,med2,med1,M103_med2,M102_med1,True,4,0.0,0.0,22.71394532497261,1704,0.005855504475388185,0.05643281077955631
104,102,low1,med1,M104_low1,M102_med1,True,4,7.542975915986183e-05,0.00026690530164258803,6.070529390704974,1704,0.005855504475388185,0.01989620976055606
